Dia,Custo,Entregas
325,18071.1962,489
326,17228.3685,469
327,11489.5072,294
328,12509.7552,334
329,0.0,0
330,0.0,0
331,13801.216,384
332,12413.277,321
333,14175.4281,358
334,13718.8865,350
335,16802.5215,416
336,0.0,0
337,0.0,0
338,3598.2786,83
339,3430.059,88
340,5466.7773,133
341,5521.2288,137
342,5330.2444,122
343,0.0,0
344,0.0,0
345,7867.943,193
346,6148.0758,136
347,5806.4542,142
348,6467.9332,149
349,6783.5933,157
350,0.0,0
351,0.0,0
352,5623.6043,130
353,5863.0726,128
354,3555.1045,84
355,3085.6417,82
356,5024.4271,107
357,0.0,0
358,0.0,0
359,0.0,0
360,3862.8227,106
361,1131.237,30
362,634.021,14
363,698.7542,17
364,0.0,0
365,0.0,0
