Posicao,ID_Beneficiario,Pessoas_Atendidas,Capacidade,Dias_Autonomia,Manancial_Alocado
266,1729,5,16.0,160.0,32
267,2774,5,16.0,160.0,88
268,1351,5,16.0,160.0,53
269,1352,5,16.0,160.0,56
270,3203,5,16.0,160.0,63
271,161,5,16.0,160.0,17
272,932,5,16.0,160.0,86
273,451,5,16.0,160.0,83
274,2916,5,16.0,160.0,71
275,2930,5,16.0,160.0,90
276,1593,5,16.0,160.0,73
277,2505,5,16.0,160.0,16
278,2478,5,16.0,160.0,75
279,3057,5,16.0,160.0,29
280,2482,5,16.0,160.0,80
281,446,5,16.0,160.0,63
282,447,5,16.0,160.0,41
283,2943,5,16.0,160.0,3
284,2037,5,16.0,160.0,73
285,2424,5,16.0,160.0,84
286,2672,5,16.0,160.0,35
287,2683,5,16.0,160.0,56
288,1364,5,16.0,160.0,4
289,1367,5,16.0,160.0,49
290,1369,5,16.0,160.0,15
291,1371,5,16.0,160.0,53
292,1349,5,16.0,160.0,47
293,1350,5,16.0,160.0,8
294,156,5,16.0,160.0,70
295,2479,5,16.0,160.0,71
296,3244,5,16.0,160.0,79
297,3247,10,32.0,160.0,80
298,120,5,16.0,160.0,1
299,3229,5,16.0,160.0,47
300,1152,5,16.0,160.0,86
301,2412,5,16.0,160.0,72
302,1207,5,16.0,160.0,48
303,121,5,16.0,160.0,35
304,355,5,16.0,160.0,5
305,371,5,16.0,160.0,73
306,1831,5,16.0,160.0,56
307,1756,5,16.0,160.0,1
308,1837,5,16.0,160.0,41
309,2613,5,16.0,160.0,47
310,1362,5,16.0,160.0,2
311,1271,5,16.0,160.0,80
312,2400,5,16.0,160.0,79
313,2305,5,16.0,160.0,80
314,2605,5,16.0,160.0,1
315,772,5,16.0,160.0,54
316,779,5,16.0,160.0,53
317,2568,5,16.0,160.0,68
318,1960,5,16.0,160.0,47
319,1598,5,16.0,160.0,66
320,387,5,16.0,160.0,13
321,2974,5,16.0,160.0,76
322,1215,5,16.0,160.0,82
323,1963,5,16.0,160.0,56
324,403,5,16.0,160.0,84
325,377,5,16.0,160.0,34
326,82,5,16.0,160.0,25
327,79,5,16.0,160.0,51
328,52,6,18.0,150.0,48
329,3196,4,12.0,150.0,22
330,2041,9,26.0,144.44,63
331,3171,6,17.0,141.67,32
332,1392,11,30.0,136.36,32
333,1119,6,16.0,133.33,37
334,3206,6,16.0,133.33,74
335,368,6,16.0,133.33,63
336,1169,6,16.0,133.33,92
337,190,6,16.0,133.33,3
338,1407,6,16.0,133.33,61
339,2971,6,16.0,133.33,20
340,404,6,16.0,133.33,66
341,402,6,16.0,133.33,2
342,350,6,16.0,133.33,67
343,345,6,16.0,133.33,22
344,1973,6,16.0,133.33,20
345,1581,6,16.0,133.33,7
346,1961,6,16.0,133.33,82
347,1876,6,16.0,133.33,69
348,197,6,16.0,133.33,19
349,2812,6,16.0,133.33,79
350,2802,6,16.0,133.33,54
351,2381,6,16.0,133.33,23
352,1341,6,16.0,133.33,22
353,2277,6,16.0,133.33,92
354,2333,6,16.0,133.33,50
355,2334,6,16.0,133.33,25
356,981,6,16.0,133.33,21
357,2396,6,16.0,133.33,39
358,2292,6,16.0,133.33,86
359,1570,6,16.0,133.33,27
360,2194,6,16.0,133.33,56
361,2173,6,16.0,133.33,2
362,2864,6,16.0,133.33,87
363,1415,6,16.0,133.33,2
364,2834,6,16.0,133.33,19
365,186,6,16.0,133.33,74
366,2398,6,16.0,133.33,72
367,2401,6,16.0,133.33,3
